"host","source_url","type","id","slug","title","price","sku","link","image","vendor","updated"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6243","erdpurtxpanama-semillas-feminizadas","ErdPurt x Panama I+D Feminizada","5000","ErdPurtxPanama_feminized_seeds","https://www.aceseeds.org/semillas/erdpurtxpanama-semillas-feminizadas/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","6773","erdpurtxpck-semillas-regulares","ErdPurt x PCK Regular","","","https://www.aceseeds.org/semillas/erdpurtxpck-semillas-regulares/","","","2025-07-16T12:10:36"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","26556","etiopia-semillas-regulares","Etíope Regular","3500","Ethiopia_regular_seeds","https://www.aceseeds.org/semillas/etiopia-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","6042","filipino-kibungan-semillas-regulares","Filipinas Kibungan Regular","","","https://www.aceseeds.org/semillas/filipino-kibungan-semillas-regulares/","","","2025-04-24T00:46:00"
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","34113","foitong-semillas-regulares","Foitong Regular","","","https://www.aceseeds.org/semillas/foitong-semillas-regulares/","","","2025-10-03T10:49:15"
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","29431","frostys_purple_freak_semillas_feminizadas","Frosty&#8217;s Purple Freak Feminizada","","","https://www.aceseeds.org/semillas/frostys_purple_freak_semillas_feminizadas/","","","2025-05-12T07:27:32"
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","5340","golden-tiger-3a-version-semillas-feminizadas","Golden Tiger 3ª versión Thai Dominante Feminizada","","","https://www.aceseeds.org/semillas/golden-tiger-3a-version-semillas-feminizadas/","","","2025-04-24T12:02:01"
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","25939","golden-tiger-semillas-feminizadas","Golden Tiger Feminizada","","","https://www.aceseeds.org/semillas/golden-tiger-semillas-feminizadas/","","","2025-10-01T20:56:05"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","2025","golden-tiger-semillas-regulares","Golden Tiger Regular","3500","Golden_Tiger_regular_seeds","https://www.aceseeds.org/semillas/golden-tiger-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","6279","goldentigerxa5haze-semillas-feminizadas","Golden Tiger x A5 Haze I+D Feminizada","","","https://www.aceseeds.org/semillas/goldentigerxa5haze-semillas-feminizadas/","","","2025-05-03T17:56:40"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6389","goldentigerxerdpurt-regular","Golden Tiger x ErdPurt I+D Regular","5000","GoldenTigerxErdPurt_regular","https://www.aceseeds.org/semillas/goldentigerxerdpurt-regular/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","5668","green_mountain_grape_semillas_regulares","Green Mountain Grape Regular","0","Green_Mountain_Grape_regular_seeds","https://www.aceseeds.org/semillas/green_mountain_grape_semillas_regulares/","","",""
